 index   name  length   s     betx   alfx   phixetax   etaxp  betz   alfz   phiz   etaz   etazp    x      xp     z      zp
 144     HCOR   0.00  15.52   0.12   0.78   2.76  925.40 -7601.79 -15.48  -9.79  -1.04 -383.49  338.69   0.00  -0.01  -0.00   0.00
 145     VCOR   0.00  15.52   0.12   0.78   2.76  925.39 -8891.25 -15.48  -9.79  -1.04 -383.49  338.69   0.00  -0.01  -0.00   0.00
 146    SD3S2   0.12  15.52   0.12   0.78   2.76  925.38 -8891.25 -15.48  -9.79  -1.04 -383.49  338.69   0.00  -0.01  -0.00   0.00
 147     BEND   0.28  15.65   0.13  -0.86   2.98 -186.03 -8891.25 -13.13  -9.01  -1.04 -341.15  338.69  -0.00  -0.01  -0.00   0.00
 148     SD31   0.75  15.92   1.18  -2.13   3.09 -2344.48 -5912.67  -9.30  -5.27  -1.04 -258.12  271.33  -0.00  -0.01  -0.00   0.00
 149      QP2   0.15  16.68   7.04  -5.64   3.13 -6801.15 -5912.67  -3.11  -2.94  -1.07 -53.60  271.33  -0.01  -0.01  -0.00   0.00
 150      SD2   0.21  16.83   7.24   4.42   3.13 -6966.82 3742.18  -2.87   1.23  -1.07 -40.25 -90.19  -0.01   0.00  -0.00  -0.00
 151      QP1   0.15  17.04   5.51   3.83   3.14 -6180.96 3742.18  -3.42   1.41  -1.08 -59.19 -90.19  -0.01   0.00  -0.00  -0.00
 152      SD5   0.06  17.19   4.92   0.18   3.14 -5926.74 -323.74  -3.50  -0.92  -1.09 -80.27 -188.49  -0.01  -0.00  -0.00  -0.00
 153     BPMx   0.00  17.25   4.90   0.17   3.15 -5946.16 -323.74  -3.39  -0.88  -1.09 -91.58 -188.49  -0.01  -0.00  -0.00  -0.00
 154     BPMz   0.00  17.25   4.90   0.17   3.15 -5946.16 -323.74  -3.39  -0.88  -1.09 -91.58 -188.49  -0.01  -0.00  -0.00  -0.00
 155     SD5B   0.74  17.25   4.90   0.17   3.15 -5946.16 -323.74  -3.39  -0.88  -1.09 -91.58 -188.49  -0.01  -0.00  -0.00  -0.00
 156      End   0.00  17.99   4.77   0.01   3.17 -6185.73 -323.74  -2.37  -0.50  -1.14 -231.07 -188.49  -0.01  -0.00  -0.00  -0.00
